station_name,available_bikes
Lotnicza / Metalowców,2
Zaporoska / Wielka / Krucza,0
Maślicka / Stodolna,2
Bystrzycka / Idzikowskiego,1
al. Kochanowskiego / Śniadeckich ,4
al. Brücknera / Kwidzyńska,0
Kozanowska / Pilczycka,1
Pilczycka / Koszykarska,0
al. Jana III Sobieskiego / stacja kolejowa,0
Kamieńskiego / Jutrosińska,2
Semaforowa,1
Olszewskiego / Spółdzielcza,1
"Olszewskiego, pętla tramwajowa",0
Bacciarellego,0
al. Kochanowskiego / Kopernika,8
Bałtycka / Żmigrodzka,2
Bezpieczna / Obornicka,0
Drzewieckiego / Dedala,4
Ślężna / pętla tramwajowa,1
Mościckiego / Chińska ,2
Krakowska / Leroy Merlin,6
Koszarowa / UWr,1
Sołtysowicka / Redycka,1
al. Poprzeczna / stacja kolejowa,0
Przyjaźni / Karkonoska,6
