station_name,available_bikes
St. Andrä Wördern / BHF Greifenstein - Altenberg,"[0, 0, 0, 0, 0, 0, 0, 0]"
Stammersdorf / Bahnhofsplatz Erlebnisstop 2,"[0, 0, 0, 0, 0, 0, 0, 0]"
Zehn vor Wien / Strebersdorferhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Korneuburg / Dabschkaserne,"[3, 3, 3, 3, 3, 3, 3, 3]"
Korneuburg / Florian Berndl Bad,"[3, 3, 3, 3, 3, 3, 3, 3]"
Klosterneuburg / IST Austria,"[0, 0, 0, 0, 0, 0, 0, 0]"
Korneuburg / BP K01 - Halle A,"[5, 5, 5, 5, 5, 5, 5, 5]"
Korneuburg / BP K01 - Halle G,"[4, 4, 4, 4, 4, 4, 4, 4]"
Korneuburg / BP K01 - Halle I,"[5, 5, 5, 5, 5, 5, 5, 5]"
Bisamberg / Zentrum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Laa / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Laa / Stadtplatz - Rathaus,"[0, 0, 0, 0, 0, 0, 0, 0]"
Schwechat / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Leopoldsdorf / Gemeindeamt,"[0, 0, 0, 0, 0, 0, 0, 0]"
Leopoldsdorf / ZIAG,"[0, 0, 0, 0, 0, 0, 0, 0]"
Leopoldsdorf / Rustenfeld,"[0, 0, 0, 0, 0, 0, 0, 0]"
Fischamend / BHF,"[0, 0, 0, 0, 0, 0, 0, 0]"
Schwechat / Concorde Businesspark,"[0, 0, 0, 0, 0, 0, 0, 0]"
Schwechat / Office Park 1,"[0, 0, 0, 0, 0, 0, 0, 0]"
Schwechat / HCW Handling Center West,"[0, 0, 0, 0, 0, 0, 0, 0]"
Hollabrunn / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Hollabrunn / KAUF ein- Fachzentrum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Hollabrunn / Landesklinikum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Purkersdorf / Zentrum Hst.,"[0, 0, 0, 0, 0, 0, 0, 0]"
Purkersdorf / Sanatorium Hst.,"[0, 0, 0, 0, 0, 0, 0, 0]"
Purkersdorf / Bahnhof Hütteldorf,"[0, 0, 0, 0, 0, 0, 0, 0]"
Gablitz / Park & Ride,"[0, 0, 0, 0, 0, 0, 0, 0]"
Purkersdorf / BHF Unterpurkersdorf,"[0, 0, 0, 0, 0, 0, 0, 0]"
Groß Enzersdorf / Busbahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Groß Enzersdorf / Auvorstadt,"[0, 0, 0, 0, 0, 0, 0, 0]"
Groß Enzersdorf / Sachsengang,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Bahnhof,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Landesklinikum,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Hauptplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Landesberufsschule WKNÖ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / BHF Ulmerfeld-Hausmening,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / BHF Greinsfurth,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Landesklinikum Mauer,"[0, 0, 0, 0, 0, 0, 0, 0]"
Amstetten / Wasserturm ,"[0, 0, 0, 0, 0, 0, 0, 0]"
Caritas Wohnen,"[2, 2, 2, 2, 2, 2, 2, 2]"
Bahnhof Sursee,"[2, 2, 2, 1, 1, 0, 0, 0]"
Stadtverwaltung,"[0, 0, 0, 0, 0, 0, 0, 0]"
Münsterplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Märtplatz,"[0, 0, 0, 0, 0, 0, 0, 0]"
Schulhaus Kotten / Kottenmatte 2,"[3, 3, 3, 3, 3, 3, 3, 3]"
Mariazell,"[0, 0, 0, 0, 0, 0, 0, 0]"
Garage Heller / Wassergrabe 9,"[3, 3, 3, 3, 3, 3, 3, 3]"
Haselmatte 2C,"[4, 4, 4, 4, 4, 4, 4, 5]"
Metro / Moosgasse 1,"[2, 2, 2, 2, 2, 2, 2, 2]"
Sandgruebestrasse,"[1, 1, 1, 1, 1, 2, 1, 1]"
Kantonsspital,"[0, 0, 0, 1, 1, 1, 1, 1]"
Schenkon / Zellfeld,"[3, 3, 3, 3, 3, 3, 3, 3]"
Schenkon / Gemeindehaus,"[4, 4, 4, 4, 4, 4, 4, 4]"
Schenkon / Restaurant OX'n,"[5, 5, 5, 5, 5, 5, 5, 5]"
Geuensee / altes Schulhaus,"[3, 3, 3, 3, 3, 3, 3, 3]"
Geuensee / Schulhaus Kornmatte,"[3, 3, 3, 3, 3, 3, 3, 3]"
Geuensee / Gasthaus St. Niklaus,"[4, 4, 4, 4, 4, 4, 4, 4]"
Knutwil / Bahnhof St. Erhard,"[3, 3, 3, 3, 3, 4, 4, 4]"
